Address,Allocation %
0x0c5D52630c982aE81b78AB2954Ddc9EC2797bB9c,10
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.242644391
0x4b67945A88B434f22eC1308aD89769FD35127A5F,0.054220621
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.020425664
0xfA68d09CA598274791Bb6f0Bc76352D9f2b4244e,2.43E-06
0xc4BAA07Ab29F1bcE55F8aB91Ab4f08327e2F1bc0,2.96E-05
0x0872443E228Cc2D536A50E146F69903aa96cC1e3,4.40E-06
0x34366C0b8765392F325c12dbc6fCca2c9feD03df,3.04E-05
0xFda2969676dee1eD0BFb1EB99B581a886ACfCd53,2.96E-05
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.011857982
0x3255f62BbD1317ed1590228f287be8D602d78443,0.011857982
0xfdf3B3B1cfE5f4967DabA1719693d589Ba790c1c,4.13E-06
0xDF7fa906DA092cC30F868C5730c944F4D5431e17,0.04812347
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.019580482
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.019678365
0x21caDed0E50b60646af532E37D3124cF2669752B,0.178263124
0x21caDed0E50b60646af532E37D3124cF2669752B,0.174445006
0x21caDed0E50b60646af532E37D3124cF2669752B,0.177061262
0x21caDed0E50b60646af532E37D3124cF2669752B,0.176978876
0x21caDed0E50b60646af532E37D3124cF2669752B,0.178113442
0x21caDed0E50b60646af532E37D3124cF2669752B,0.133019075
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,0.017352251
0x27132F6d5103CAeE85569d2980B628F168B3b229,0.024772115
0x040aCBe127F76D747BeD760E0Da95B340A28eE9D,1.17E-05
0xFa12Ee9D688ECcD86073F23Bf78ba034FD2b0A7F,6.35E-05
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,8.55E-06
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.00346683
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.181183445
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.030590189
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.015673935
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.015484021
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.01666109
0xac6be2B90c939648B2980D048A0E20b61f3c7771,0.0117502
0x3255f62BbD1317ed1590228f287be8D602d78443,0.011802449
0x5D4d3FaE4d0282FD8A558b5f42Ba700974cBfd1A,0.013647372
0x5D4d3FaE4d0282FD8A558b5f42Ba700974cBfd1A,0.000615643
0x08a1514F82d2E3DB205557998442d1E27364e22b,0.001015849
0xaDc8dF2B06E897972940CfeB9Daf96A61133a456,0.016211728
0x4BF6fDF4e70D7c6872771c24Ade52f22147757B2,0.009355532
0x0ffA0Ea3C67F75Fa8395d59907031a5D1A96e4A2,0.009355532
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.015004733
0xE77B5ff8c07BCAD515B547BBcD8F628F005Ca6e7,0.000456906
0x21caDed0E50b60646af532E37D3124cF2669752B,0.138207056
0x21caDed0E50b60646af532E37D3124cF2669752B,0.138610076
0x21caDed0E50b60646af532E37D3124cF2669752B,0.13389788
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134420064
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134444171
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134444171
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134444169
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134444168
0x21caDed0E50b60646af532E37D3124cF2669752B,0.134444167
0x21caDed0E50b60646af532E37D3124cF2669752B,0.127909283
0x21caDed0E50b60646af532E37D3124cF2669752B,0.1346093
0x21caDed0E50b60646af532E37D3124cF2669752B,0.074782945
0x09dEfda01Bf18E5c31496E486d41E387c8a2B201,0.060975451
0xA88E8E6212D50b7Fa8EE7051E37e1284261e0b94,0.655914346
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,0.015004727
0xAf79312EB821871208ac76A80c8E282f8796964e,2.05E-08
0xAf79312EB821871208ac76A80c8E282f8796964e,3.66E-05
0x0F613b6D34cEa2a4C310764905ff20d3b5aE02c8,0.002290921
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,9.02E-06
0xB406F29C62b94A717B2714A4982E307e828FFaFa,0.000992536
0xc247eDe48635c5762ca6037180F4Bc0A29FE6226,0.000170054
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,6.039563107
0x68f3Ed374Ab786A5b8eA959c89C4F06e83f52FC1,0.859392062
0xCE452F6779f6Cb2FC17c059f9F3ecA58B9D64E44,0.032012361
0x91d73E9E176c7F8e13CC36ce9532eF4754567157,0.006744115
0x738dd7b22960dBE359ce10727906CD7AaF71020B,0.047895041
0x47F98FA3a3f8d8A62d99d112cE74e68B8dE79F89,0.017889718
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.073843238
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.280302209
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.000378889
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.000378889
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.000378889
0x48A1e3c67698ee0707DEF7F1cf6A6F2aB244BE22,0.000378889
0x8DdD3460376bE2b3148431a2c683De2666cb19Fb,0.11724776
0x96B9D9a5cFe8c572DeF7588d31f7921138794e24,0.000538271
